run,he,mode,loss,train_f1,val_f1,test_f1
0,0.0871080160140991,learned,0.0708959624171257,0.8735632183908046,0.6101694915254238,0.6216216216216216
1,0.0871080160140991,learned,0.0659136995673179,0.8850574712643678,0.576271186440678,0.6216216216216216
2,0.0871080160140991,learned,0.0593583546578884,1.0,0.6101694915254238,0.5945945945945946
3,0.0871080160140991,learned,0.0587514340877532,1.0,0.576271186440678,0.5675675675675675
4,0.08710801601409912,learned,0.07159025967121124,0.9885057471264368,0.6101694915254238,0.5675675675675675
