run,he,mode,loss,train_f1,val_f1,test_f1
0,0.1274685859680175,learned,0.0279158260673284,1.0,0.7627118644067796,0.6756756756756757
1,0.1274685859680175,learned,0.0321138314902782,1.0,0.7627118644067796,0.6486486486486487
2,0.1274685859680175,learned,0.0536305382847785,1.0,0.7796610169491526,0.7027027027027027
3,0.1274685859680175,learned,0.0428788289427757,1.0,0.7627118644067796,0.5945945945945946
4,0.1274685859680175,learned,0.0639212653040885,1.0,0.7796610169491526,0.6486486486486487
0,0.1274685859680175,learned,0.025693379342556,1.0,0.7627118644067796,0.6756756756756757
1,0.1274685859680175,learned,0.0264392346143722,1.0,0.7627118644067796,0.6486486486486487
2,0.1274685859680175,learned,0.0541678071022033,1.0,0.7796610169491526,0.7027027027027027
3,0.1274685859680175,learned,0.0446700528264045,1.0,0.7796610169491526,0.6216216216216216
4,0.12746858596801758,learned,0.028539957478642464,1.0,0.7966101694915254,0.7027027027027027
