dataset,num_nodes,num_input_directed_edges,num_input_undirected_edges,budget_draws,num_output_undirected_edges,graph_export_seconds,effective_resistance_seconds,er_factor_seconds,er_solve_seconds,sparsification_seconds,effective_resistance_path,sparsifier_path
karate,34,156,78,39,31,7.426206939038821,0.780986248,0.046694237,0.612521586,5.0275e-05,/rcfs/scratch/dass304/EDSparse/data/Karate/spectral_sparsification/effective_resistance.npz,/rcfs/scratch/dass304/EDSparse/data/Karate/spectral_sparsification/sparsified_budget_39_seed_42.npz
cora,2708,10556,5278,2639,1980,0.22039102506823838,2.05356574,0.698657533,1.23201065,0.000281292,/rcfs/scratch/dass304/EDSparse/data/Planetoid/Cora/spectral_sparsification/effective_resistance.npz,/rcfs/scratch/dass304/EDSparse/data/Planetoid/Cora/spectral_sparsification/sparsified_budget_2639_seed_42.npz
