Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, gradient, 0.5, 100, 110, :::,   0.4155, 0.4068, 0.4084,45.5777, 0.1971
GraNet, gradient, 0.5, 100, 110, :::,   0.4121, 0.4059, 0.4064,44.1918, 0.1593
