Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, gradient, 0.5, 100, 110, :::,   0.7457, 0.5749, 0.5638,0.4803, 0.0064
GraNet, gradient, 0.5, 100, 110, :::,   0.7763, 0.5996, 0.6063,0.1690, 0.0096
GraNet, gradient, 0.5, 100, 110, :::,   0.9918, 0.6174, 0.6286,5.1830, 0.0098
GraNet, gradient, 0.5, 100, 110, :::,   0.8732, 0.6353, 0.6376,4.5606, 0.0082
GraNet, gradient, 0.5, 100, 110, :::,   0.9925, 0.6197, 0.6331,5.1528, 0.0081
