Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, gradient, 0.5, 100, 110, :::,   1.0000, 0.8080, 0.8080,1.8066, 0.0020
GraNet, gradient, 0.5, 100, 110, :::,   0.2477, 0.2445, 0.2405,16.2755, 0.0168
