Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, gradient, 0.5, 100, 110, :::,   0.9304, 0.9279, 0.9315,36.7033, 3.0850
GraNet, gradient, 0.5, 100, 110, :::,   0.9304, 0.9279, 0.9315,36.5551, 3.1502
