Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, gradient, 0.5, 100, 110, :::,   1.0000, 0.7560, 0.7620,2.9674, 0.0033
GraNet, gradient, 0.5, 100, 110, :::,   1.0000, 0.7480, 0.7640,1.7238, 0.0037
GraNet, gradient, 0.5, 100, 110, :::,   1.0000, 0.7560, 0.7610,1.6412, 0.0035
