run,he,mode,loss,train_f1,val_f1,test_f1
0,0.9494097828865052,learned,0.1002770885825157,0.983451536643026,0.8983451536643026,0.9013002364066194
1,0.9494097828865052,learned,0.1061200201511383,0.9869976359338062,0.898936170212766,0.9018912529550828
2,0.9494097828865052,learned,0.0932645797729492,0.9858156028368794,0.9048463356973996,0.8953900709219856
3,0.9494097828865052,learned,0.0706295594573021,0.975177304964539,0.9060283687943262,0.8947990543735225
4,0.9494097828865051,learned,0.07582858949899673,0.9869976359338062,0.9072104018912529,0.8953900709219856
