run,he,mode,loss,train_f1,val_f1,test_f1
0,0.7885510921478271,learned,0.0201555080711841,1.0,0.8330550918196995,0.8397328881469116
1,0.7885510921478271,learned,0.0201456695795059,0.993322203672788,0.8247078464106845,0.8572621035058431
2,0.7885510921478271,learned,0.0201963037252426,1.0,0.833889816360601,0.8505843071786311
3,0.7885510921478271,learned,0.0249025933444499,0.998330550918197,0.823873121869783,0.8539232053422371
4,0.7885510921478271,learned,0.018917210400104523,1.0,0.8280467445742905,0.8497495826377296
