run,he,mode,loss,train_f1,val_f1,test_f1
0,0.2186709493398666,full,1.5877440507922853,0.2995423384005385,0.2993891761744507,0.2995442769564883
0,0.2186709493398666,random,1.5839611057724272,0.303850479350507,0.3037617308271088,0.3042314696854399
0,0.2186709493398666,edge,1.5842723910297667,0.3042443567514634,0.3037446304960464,0.3047102781364091
0,0.2186709493398666,learned,1.9932910352945328,0.2922370811347545,0.2914956633560426,0.2930854929589507
0,0.2186709493398666,full,1.4656736701726911,0.3525328140915768,0.3521915784289584,0.3520832442692613
1,0.2186709493398666,full,1.464500014271055,0.3547359054876641,0.3540674847465047,0.3545627880332088
2,0.2186709493398666,full,1.4642630985804967,0.3554085181260555,0.3544368518974527,0.3548500731037903
0,0.2186709493398666,random,1.5050286203622818,0.3452133065580302,0.3442211141207694,0.3451918226356695
1,0.2186709493398666,random,1.5038175540310996,0.3456368245159326,0.3448709267011409,0.3453987362876954
2,0.2186709493398666,random,1.5045460483857565,0.346959819375006,0.3462492133847711,0.3466538984413075
0,0.2186709493398666,edge,1.5052559013877596,0.3432080088784868,0.3429984404498071,0.3430662551194028
1,0.2186709493398666,edge,1.5052558950015478,0.3464952606459475,0.3458234151413171,0.3462007404430688
2,0.2186709493398666,edge,1.5049073653561729,0.3456368245159326,0.3450641604421461,0.3451713022734851
0,0.2186709493398666,learned,2.089207159621375,0.3551970441524596,0.3526173766724124,0.3531537231632138
1,0.2186709493398666,learned,2.08833732349532,0.3571117101290333,0.3541957372294728,0.3551595885667382
2,0.21867094933986664,learned,2.088008144072124,0.3556433625387821,0.3528858518700922,0.3540771394615115
