Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, momentum, 0.3, 100, 110, :::,   0.6260, 0.5350, 0.5378,6.3729, 0.0051
GraNet, momentum, 0.3, 100, 110, :::,   0.6222, 0.5361, 0.5379,5.9081, 0.0051
GraNet, momentum, 0.3, 100, 110, :::,   0.6274, 0.5379, 0.5348,6.1015, 0.0051
