run,he,mode,loss,train_f1,val_f1,test_f1
0,0.1921397447586059,learned,0.0961035043001174,0.9666666666666668,0.7125,0.6078431372549019
1,0.1921397447586059,learned,0.0929313078522682,1.0,0.7125,0.6862745098039216
2,0.1921397447586059,learned,0.0867827460169792,0.9416666666666668,0.7250000000000001,0.6078431372549019
3,0.1921397447586059,learned,0.0973980650305748,0.9583333333333334,0.7125,0.6274509803921569
4,0.19213974475860596,learned,0.08392710983753204,1.0,0.7250000000000001,0.6078431372549019
