run,he,mode,loss,train_f1,val_f1,test_f1
0,0.9494097828865052,learned,0.1422141939401626,0.9822695035460992,0.8865248226950354,0.8776595744680851
1,0.9494097828865052,learned,0.1576502621173858,0.9976359338061466,0.8764775413711584,0.8770685579196218
2,0.9494097828865052,learned,0.0986542403697967,0.9822695035460992,0.8847517730496454,0.8835697399527187
3,0.9494097828865052,learned,0.1359910666942596,0.9692671394799054,0.8841607565011821,0.8735224586288416
4,0.9494097828865051,learned,0.15144501626491547,0.9810874704491725,0.8817966903073287,0.8776595744680851
