run,he,mode,loss,train_f1,val_f1,test_f1
0,0.1274685859680175,learned,0.0390426740050315,1.0,0.7457627118644068,0.7837837837837838
1,0.1274685859680175,learned,0.0320366322994232,1.0,0.7796610169491526,0.7027027027027027
2,0.1274685859680175,learned,0.032500572502613,1.0,0.7627118644067796,0.7567567567567567
3,0.1274685859680175,learned,0.0196091588586568,1.0,0.7627118644067796,0.7297297297297297
4,0.1274685859680175,learned,0.0252124965190887,1.0,0.7457627118644068,0.7297297297297297
0,0.1274685859680175,learned,0.0382646769285202,1.0,0.7457627118644068,0.7837837837837838
1,0.1274685859680175,learned,0.0358049757778644,1.0,0.7796610169491526,0.7027027027027027
2,0.1274685859680175,learned,0.0239542387425899,1.0,0.7627118644067796,0.7567567567567567
3,0.1274685859680175,learned,0.0436230599880218,1.0,0.7627118644067796,0.7297297297297297
4,0.12746858596801758,learned,0.021124284714460373,1.0,0.7457627118644068,0.7297297297297297
