      Data,     Model,  Seed,    ThA,    ThW,    Acc,  Cn,  EP,  Ttrain,  Ctrain,   Ttest,   CTest,  NumelA,  NumelW,    CPre,     CTr,     CTe, Hop, Lay,   TPre 
photo     ,gbp       ,    42,0.0e+00,0.0e+00,0.65458,   0,   1,  0.5835,   0.142,  0.0027,  0.2839, 952.640, 385.536,  0.7097,  0.0000,  0.0000,  20,   2,  1.9542
photo     ,gbp       ,    42,0.0e+00,0.0e+00,0.65458,   0,   1,  1.0016,   0.142,  0.0022,  0.2839, 952.640, 385.536,  0.7097,  0.0000,  0.0000,  20,   2,  2.0547
photo     ,gbp       ,    42,0.0e+00,0.0e+00,0.94314, 188, 250,  1.9899,   0.710,  0.0022,  1.4194,4763.240, 385.536,  3.5486,  0.0000,  0.0000,  20,   2,  0.7898
photo     ,gbp       ,    43,0.0e+00,0.0e+00,0.94281, 187, 250,  1.9317,   0.710,  0.0025,  1.4194,4763.240, 385.536,  3.5486,  0.0000,  0.0000,  20,   2,  0.7860
photo     ,gbp       ,    44,0.0e+00,0.0e+00,0.94216, 164, 250,  1.9523,   0.710,  0.0024,  1.4194,4763.240, 385.536,  3.5486,  0.0000,  0.0000,  20,   2,  0.7836
