Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, gradient, 0.3, 100, 110, :::,   1.0000, 0.4915, 0.3784,1.9087, 0.0019
GraNet, gradient, 0.3, 100, 110, :::,   0.9655, 0.4915, 0.3784,1.5112, 0.0019
GraNet, gradient, 0.3, 100, 110, :::,   1.0000, 0.4576, 0.3784,1.5386, 0.0020
GraNet, gradient, 0.8, 100, 110, :::,   1.0000, 0.4915, 0.3784,1.8191, 0.0019
GraNet, gradient, 0.8, 100, 110, :::,   0.9655, 0.4915, 0.3784,1.5133, 0.0019
GraNet, gradient, 0.8, 100, 110, :::,   1.0000, 0.4576, 0.3784,1.5335, 0.0019
GraNet, gradient, 0.5, 100, 110, :::,   1.0000, 0.4915, 0.3784,1.7992, 0.0018
GraNet, gradient, 0.5, 100, 110, :::,   1.0000, 0.5085, 0.4054,1.4596, 0.0019
GraNet, gradient, 0.5, 100, 110, :::,   1.0000, 0.4576, 0.3784,1.4651, 0.0019
