run,he,mode,loss,train_f1,val_f1,test_f1
0,0.0468916073441505,learned,1.2480751276016235,0.6723148883593681,0.6384819064430715,0.6283092128485704
1,0.0468916073441505,learned,1.24308979511261,0.6726679022151619,0.6391879964695498,0.6272502647370279
2,0.0468916073441505,learned,1.2446856498718262,0.6754920130615126,0.6409532215357459,0.6302506177197318
3,0.0468916073441505,learned,1.2258579730987549,0.6775218427323273,0.6375992939099735,0.6281327214966467
4,0.0468916073441505,learned,1.2606263160705566,0.6720501279675227,0.6409532215357459,0.6265442993293329
0,0.0468916073441505,learned,1.725493311882019,0.6215691465890036,0.5902912621359223,0.5887751500176491
1,0.0468916073441505,learned,1.673814296722412,0.6298649722001588,0.6028243601059136,0.6039534062830921
2,0.0468916073441505,learned,1.6936280727386477,0.6363074750683965,0.6111209179170344,0.6115425344158136
3,0.0468916073441505,learned,1.7788540124893188,0.613979348689436,0.5860547219770521,0.5875397105541829
4,0.0468916073441505,learned,1.7775694131851196,0.6224516812284883,0.5941747572815534,0.5885986586657254
0,0.0468916073441505,learned,1.0913567543029783,0.6604889241902745,0.6404236540158871,0.6306036004235792
1,0.0468916073441505,learned,1.1026265621185305,0.6566057717765422,0.6388349514563106,0.6304271090716554
2,0.0468916073441505,learned,1.0997791290283203,0.6587238549113053,0.6398940864960282,0.628662195552418
3,0.0468916073441505,learned,1.0902526378631592,0.6587238549113053,0.6407766990291263,0.6291916696081892
4,0.0468916073441505,learned,1.102852463722229,0.6569587856323361,0.6397175639894086,0.6304271090716554
0,0.0468916073441505,learned,2.136979818344116,0.6273056217456535,0.5984112974404237,0.6006000705965407
1,0.0468916073441505,learned,2.460626602172852,0.6280116494572412,0.5982347749338041,0.5937169078715143
2,0.0468916073441505,learned,2.139829158782959,0.6197158238460859,0.5962930273609885,0.5949523473349806
3,0.0468916073441505,learned,2.1308913230896,0.6290706910246228,0.5973521624007061,0.5979527003176844
4,0.0468916073441505,learned,2.114480495452881,0.6286294237048804,0.6047661076787291,0.6027179668196259
0,0.0468916073441505,learned,1.154399037361145,0.6965845909451946,0.6476610767872903,0.640840098835157
1,0.0468916073441505,learned,1.152130365371704,0.6908481157885447,0.6455428067078552,0.6358983409812919
2,0.0468916073441505,learned,1.1473983526229858,0.6890830465095755,0.6416593115622242,0.6318390398870455
3,0.0468916073441505,learned,1.1235123872756958,0.6952607889859677,0.6458958517210944,0.6404871161313096
4,0.0468916073441505,learned,1.1497066020965576,0.6950842820580708,0.6458958517210944,0.6360748323332157
0,0.0468916073441505,learned,1.1528979539871216,0.695878563233607,0.6464254192409532,0.6404871161313096
1,0.0468916073441505,learned,1.138835310935974,0.6837878386726679,0.6441306266548985,0.6323685139428168
2,0.0468916073441505,learned,1.1359037160873413,0.69226017121172,0.6423654015887026,0.6325450052947406
3,0.0468916073441505,learned,1.1304129362106323,0.6943782543464831,0.6455428067078552,0.6385457112601483
4,0.0468916073441505,learned,1.1473970413208008,0.6933192127791016,0.6462488967343336,0.6355453582774444
0,0.0468916073441505,learned,0.9834985733032228,0.6927896919954109,0.6575463371579876,0.6494881750794211
1,0.0468916073441505,learned,0.9902202486991882,0.6917306504280293,0.6561341571050309,0.647370278856336
2,0.0468916073441505,learned,0.9859490990638732,0.689171299973524,0.6598411297440424,0.6463113307447935
3,0.0468916073441505,learned,0.9884172677993774,0.6894360603653693,0.6529567519858782,0.6427815037063184
4,0.0468916073441505,learned,0.9853650331497192,0.6808754743623687,0.654368932038835,0.6443699258736322
0,0.0468916073441505,learned,0.9889302253723145,0.6788456446915542,0.6481906443071491,0.6413695728909283
1,0.0468916073441505,learned,0.992218017578125,0.6828170505692348,0.646954986760812,0.6433109777620897
2,0.0468916073441505,learned,0.9887516498565674,0.6779631100520696,0.6466019417475728,0.6388986939639958
3,0.0468916073441505,learned,0.980936586856842,0.6829053040331833,0.6485436893203883,0.6436639604659372
4,0.0468916073441505,learned,0.9911235570907592,0.6806107139705233,0.646954986760812,0.6422520296505472
0,0.0468916073441505,learned,0.9885711669921876,0.6784043773718118,0.646072374227714,0.6418990469466996
1,0.0468916073441505,learned,0.9859862923622132,0.6776983496602241,0.6480141218005295,0.6413695728909283
2,0.0468916073441505,learned,0.9919183254241944,0.6810519812902657,0.6473080317740512,0.6443699258736322
3,0.0468916073441505,learned,0.9875323176383972,0.6762862942370488,0.6443071491615181,0.6429579950582421
4,0.0468916073441505,learned,0.9909822940826416,0.6812284882181625,0.6471315092674316,0.6447229085774797
0,0.0468916073441505,learned,1.0526717901229858,0.6682552290177389,0.6457193292144748,0.6348393928697493
1,0.0468916073441505,learned,1.0591771602630615,0.6655193716353367,0.643071491615181,0.6358983409812919
2,0.0468916073441505,learned,1.0538710355758667,0.6671961874503575,0.642188879082083,0.6334274620543593
3,0.0468916073441505,learned,1.0513544082641602,0.6685199894095843,0.6434245366284201,0.6350158842216731
4,0.0468916073441505,learned,1.0583335161209106,0.6653428647074398,0.6406001765225067,0.6330744793505119
0,0.0468916073441505,learned,1.052247166633606,0.6681669755537905,0.6453662842012357,0.6346629015178257
1,0.0468916073441505,learned,1.0586031675338743,0.6656076250992852,0.6427184466019418,0.6351923755735969
2,0.0468916073441505,learned,1.054069757461548,0.6660488924190274,0.6425419240953222,0.6330744793505119
3,0.0468916073441505,learned,1.0506495237350464,0.6686082428735328,0.6437775816416593,0.6346629015178257
4,0.0468916073441505,learned,1.0581471920013428,0.6642838231400583,0.6409532215357459,0.632192022590893
0,0.0468916073441505,learned,1.1426424980163574,0.678227870443915,0.6374227714033539,0.6309565831274268
1,0.0468916073441505,learned,1.153063416481018,0.678051363516018,0.6432480141218005,0.6336039534062831
2,0.0468916073441505,learned,1.146939992904663,0.6783161239078633,0.6361871138570168,0.6288386869043416
3,0.0468916073441505,learned,1.148589849472046,0.6786691377636572,0.6398940864960282,0.6348393928697493
4,0.0468916073441505,learned,1.1448993682861328,0.6764628011649457,0.6388349514563106,0.6318390398870455
0,0.0468916073441505,learned,1.2471123933792114,0.6741682111022858,0.6390114739629302,0.6283092128485704
1,0.0468916073441505,learned,1.2418314218521118,0.678051363516018,0.6444836716681377,0.6346629015178257
2,0.0468916073441505,learned,1.247025966644287,0.6720501279675227,0.6420123565754634,0.6284857042004942
3,0.0468916073441505,learned,1.2437368631362915,0.6793751654752449,0.639541041482789,0.6355453582774444
4,0.0468916073441505,learned,1.2573744058609009,0.6729326626070073,0.6379523389232127,0.6311330744793505
0,0.0468916073441505,learned,1.2534706592559814,0.6707263260082958,0.6384819064430715,0.6298976350158842
1,0.0468916073441505,learned,1.2573665380477903,0.6685199894095843,0.6381288614298323,0.6277797387927991
2,0.0468916073441505,learned,1.2596023082733154,0.672491395287265,0.638658428949691,0.6265442993293329
3,0.0468916073441505,learned,1.246303915977478,0.6778748565881211,0.6391879964695498,0.6318390398870455
4,0.0468916073441505,learned,1.271605372428894,0.6711675933280381,0.6398940864960282,0.6279562301447229
0,0.0468916073441505,learned,1.255745768547058,0.6676374547700997,0.6455428067078552,0.6297211436639605
1,0.0468916073441505,learned,1.2453941106796265,0.6709910864001412,0.6451897616946161,0.6313095658312743
2,0.0468916073441505,learned,1.2571170330047607,0.6716088606477805,0.6437775816416593,0.6295446523120367
3,0.0468916073441505,learned,1.2608599662780762,0.6674609478422028,0.6416593115622242,0.6298976350158842
4,0.0468916073441505,learned,1.2662750482559204,0.6655193716353367,0.6432480141218005,0.6323685139428168
0,0.0468916073441505,learned,1.2961753606796265,0.6663136528108728,0.6388349514563106,0.6316625485351218
1,0.0468916073441505,learned,1.3053935766220093,0.6682552290177389,0.6436010591350397,0.6311330744793505
2,0.0468916073441505,learned,1.2884424924850464,0.6678139616979967,0.6416593115622242,0.6339569361101306
3,0.0468916073441505,learned,1.295888066291809,0.6661371458829759,0.643071491615181,0.6325450052947406
4,0.0468916073441505,learned,1.2948757410049438,0.6696672844409143,0.642188879082083,0.6339569361101306
0,0.0468916073441505,learned,1.2520689964294434,0.6697555379048628,0.636540158870256,0.6293681609601129
1,0.0468916073441505,learned,1.2584333419799805,0.6697555379048628,0.6388349514563106,0.6290151782562654
2,0.0468916073441505,learned,1.2593036890029907,0.673638690318595,0.6393645189761694,0.6276032474408754
3,0.0468916073441505,learned,1.248375415802002,0.6770805754125849,0.6397175639894086,0.6323685139428168
4,0.0468916073441505,learned,1.272275686264038,0.671344100255935,0.6402471315092675,0.6304271090716554
0,0.0468916073441505,learned,1.2354092597961426,0.673638690318595,0.6407766990291263,0.6284857042004942
1,0.0468916073441505,learned,1.253055214881897,0.674785985349925,0.6409532215357459,0.6302506177197318
2,0.0468916073441505,learned,1.2575974464416504,0.6752272526696673,0.642188879082083,0.6290151782562654
3,0.0468916073441505,learned,1.234821915626526,0.6809637278263172,0.6425419240953222,0.6316625485351218
4,0.0468916073441505,learned,1.2603448629379272,0.672491395287265,0.6416593115622242,0.6304271090716554
0,0.0468916073441505,learned,1.010244846343994,0.6904951019327509,0.6411297440423654,0.6355453582774444
1,0.0468916073441505,learned,1.021687150001526,0.6821110228576471,0.6381288614298323,0.6311330744793505
2,0.0468916073441505,learned,1.0145124197006226,0.6866119495190186,0.6330097087378641,0.628662195552418
3,0.0468916073441505,learned,1.0183944702148438,0.6844938663842556,0.6377758164165931,0.6311330744793505
