run,he,mode,loss,train_f1,val_f1,test_f1
0,0.0871080160140991,learned,0.1137703210115432,0.9885057471264368,0.5932203389830508,0.5675675675675675
1,0.0871080160140991,learned,0.0873863697052002,0.9885057471264368,0.5932203389830508,0.5675675675675675
2,0.0871080160140991,learned,0.0877872109413147,1.0,0.5932203389830508,0.5135135135135135
3,0.0871080160140991,learned,0.1298228055238723,0.9770114942528736,0.576271186440678,0.6216216216216216
4,0.08710801601409912,learned,0.08034707605838776,0.9540229885057471,0.6101694915254238,0.5675675675675675
