run,he,mode,loss,train_f1,val_f1,test_f1
0,0.0871080160140991,learned,0.0813883543014526,0.9540229885057472,0.6101694915254238,0.6216216216216216
1,0.0871080160140991,learned,0.0717002674937248,1.0,0.6271186440677966,0.5135135135135135
2,0.0871080160140991,learned,0.0828763395547866,0.8850574712643678,0.6271186440677966,0.6486486486486487
3,0.0871080160140991,learned,0.1032235622406005,1.0,0.559322033898305,0.5405405405405406
4,0.08710801601409912,learned,0.0902598649263382,0.9770114942528736,0.5932203389830508,0.5135135135135135
