      Data,     Model,  Seed,    ThA,    ThW,    Acc,  Cn,  EP,  Ttrain,  Ctrain,   Ttest,   CTest,  NumelA,  NumelW,    CPre,     CTr,     CTe, Hop, Lay,   TPre 
johnshopkins55,gbp       ,    42,0.0e+00,0.0e+00,0.54826,   0,   1,  0.8558,   0.718,  0.0032,  1.4366,1492.680,1232.896,  3.5914,  0.0000,  0.0000,  20,   2,139.8296
johnshopkins55,gbp       ,    42,0.0e+00,0.0e+00,0.65407,  11, 250,  1.6741,   3.590,  0.0026,  7.1836,7463.440,1232.896, 17.9570,  0.0000,  0.0000,  20,   2,  4.2377
johnshopkins55,gbp       ,    43,0.0e+00,0.0e+00,0.65407,  22, 250,  2.0886,   3.590,  0.0029,  7.1836,7463.440,1232.896, 17.9570,  0.0000,  0.0000,  20,   2,  4.3095
johnshopkins55,gbp       ,    44,0.0e+00,0.0e+00,0.66457,   7, 250,  1.6694,   3.590,  0.0026,  7.1836,7463.440,1232.896, 17.9570,  0.0000,  0.0000,  20,   2,  4.3149
