      Data,     Model,  Seed,    ThA,    ThW,    Acc,  Cn,  EP,  Ttrain,  Ctrain,   Ttest,   CTest,  NumelA,  NumelW,    CPre,     CTr,     CTe, Hop, Lay,   TPre 
cs        ,gbp       ,    42,0.0e+00,0.0e+00,0.81770,   0,   1,  1.0679,   0.892,  0.0042,  1.7835, 655.160,3491.840,  4.4584,  0.0000,  0.0000,  20,   2,621.7294
cs        ,gbp       ,    42,0.0e+00,0.0e+00,0.92092,   2, 250,  3.4665,   4.458,  0.0048,  8.9176,3275.760,3491.840, 22.2915,  0.0000,  0.0000,  20,   2, 13.1658
cs        ,gbp       ,    43,0.0e+00,0.0e+00,0.92119,   6, 250,  3.3750,   4.458,  0.0050,  8.9176,3275.760,3491.840, 22.2915,  0.0000,  0.0000,  20,   2, 13.3939
cs        ,gbp       ,    44,0.0e+00,0.0e+00,0.92310,   7, 250,  3.4732,   4.458,  0.0050,  8.9176,3275.760,3491.840, 22.2915,  0.0000,  0.0000,  20,   2, 13.3662
