      Data,     Model,  Seed,    ThA,    ThW,    Acc,  Cn,  EP,  Ttrain,  Ctrain,   Ttest,   CTest,  NumelA,  NumelW,    CPre,     CTr,     CTe, Hop, Lay,   TPre 
computers ,gbp       ,    42,0.0e+00,0.0e+00,0.78640,   0,   1,  0.5691,   0.302,  0.0043,  0.6035,1966.880, 397.824,  1.5086,  0.0000,  0.0000,  20,   2, 36.9172
computers ,gbp       ,    42,0.0e+00,0.0e+00,0.90729, 140, 250,  2.5940,   1.508,  0.0037,  3.0173,9834.440, 397.824,  7.5430,  0.0000,  0.0000,  20,   2,  2.5625
computers ,gbp       ,    43,0.0e+00,0.0e+00,0.90874, 176, 250,  2.5543,   1.508,  0.0041,  3.0173,9834.440, 397.824,  7.5430,  0.0000,  0.0000,  20,   2,  2.5023
computers ,gbp       ,    44,0.0e+00,0.0e+00,0.90656, 203, 250,  2.5415,   1.508,  0.0037,  3.0173,9834.440, 397.824,  7.5430,  0.0000,  0.0000,  20,   2,  2.5071
